Periodo,IPC General
1929-03,4.0
1929-04,2.0
1929-05,0.0
1929-06,1.8
1929-07,1.8
1929-08,3.7
1929-09,0.0
1929-10,1.8
1929-11,3.7
1929-12,7.4
1930-01,1.9
1930-02,0.0
1930-03,0.0
1930-04,1.9
1930-05,1.9
1930-06,0.0
1930-07,0.0
1930-08,-1.8
1930-09,-5.2
1930-10,0.0
1930-11,-1.8
1930-12,-5.2
1931-01,0.0
1931-02,-1.9
1931-03,0.0
1931-04,-3.8
1931-05,-1.9
1931-06,-1.8
1931-07,0.0
1931-08,0.0
1931-09,0.0
1931-10,-3.6
1931-11,-3.6
1931-12,0.0
1932-01,-7.5
1932-02,-3.9
1932-03,-1.9
1932-04,2.0
1932-05,1.9
1932-06,1.8
1932-07,0.0
1932-08,5.5
1932-09,18.2
1932-10,22.2
1932-11,24.1
1932-12,23.6
1933-01,38.8
1933-02,38.8
1933-03,33.3
1933-04,32.7
1933-05,31.5
1933-06,30.9
1933-07,30.9
1933-08,25.9
1933-09,13.9
1933-10,10.6
1933-11,6.0
1933-12,4.4
1934-01,1.5
1934-02,0.0
1934-03,1.5
1934-04,1.4
1934-05,0.0
1934-06,-1.4
1934-07,0.0
1934-08,-2.7
1934-09,-1.4
1934-10,-2.7
1934-11,2.8
1934-12,4.2
1935-01,7.2
1935-02,4.4
1935-03,2.9
1935-04,2.9
1935-05,1.4
1935-06,1.4
1935-07,1.4
1935-08,1.4
1935-09,0.0
1935-10,2.8
1935-11,0.0
1935-12,-1.4
1936-01,-1.4
1936-02,4.2
1936-03,5.6
1936-04,5.5
1936-05,8.3
1936-06,9.7
1936-07,9.6
1936-08,11.1
1936-09,11.0
1936-10,13.7
1936-11,12.3
1936-12,12.3
1937-01,12.3
1937-02,8.1
1937-03,10.7
1937-04,13.2
1937-05,12.8
1937-06,13.9
1937-07,13.7
1937-08,15.0
1937-09,14.8
1937-10,12.0
1937-11,13.4
1937-12,9.8
1938-01,8.5
1938-02,11.2
1938-03,8.4
1938-04,7.0
1938-05,6.8
1938-06,4.4
1938-07,3.3
1938-08,1.1
1938-09,1.1
1938-10,1.1
1938-11,1.1
1938-12,2.2
1939-01,1.1
1939-02,-1.1
1939-03,0.0
1939-04,1.1
1939-05,0.0
1939-06,0.0
1939-07,-1.1
1939-08,0.0
1939-09,0.0
1939-10,3.2
1939-11,5.3
1939-12,7.6
1940-01,6.7
1940-02,11.4
1940-03,10.0
1940-04,9.7
1940-05,9.6
1940-06,13.8
1940-07,14.0
1940-08,16.1
1940-09,20.2
1940-10,17.5
1940-11,13.1
1940-12,9.1
1941-01,12.5
1941-02,12.3
1941-03,14.1
1941-04,12.7
1941-05,15.5
1941-06,13.1
1941-07,15.1
1941-08,14.8
1941-09,15.0
1941-10,15.8
1941-11,17.0
1941-12,23.1
1942-01,24.1
1942-02,24.6
1942-03,26.5
1942-04,29.5
1942-05,27.7
1942-06,24.8
1942-07,24.6
1942-08,26.6
1942-09,23.1
1942-10,25.5
1942-11,26.5
1942-12,25.5
1943-01,22.4
1943-02,21.8
1943-03,18.2
1943-04,18.1
1943-05,18.4
1943-06,21.2
1943-07,19.1
1943-08,15.3
1943-09,14.4
1943-10,11.1
1943-11,10.5
1943-12,7.8
1944-01,11.6
1944-02,8.4
1944-03,8.9
1944-04,8.5
1944-05,8.9
1944-06,6.0
1944-07,7.7
1944-08,10.5
1944-09,14.8
1944-10,19.0
1944-11,19.6
1944-12,15.0
1945-01,12.6
1945-02,14.4
1945-03,13.6
1945-04,10.5
1945-05,8.2
1945-06,10.4
1945-07,9.8
1945-08,8.0
1945-09,7.1
1945-10,6.0
1945-11,0.5
1945-12,7.7
1946-01,9.7
1946-02,8.2
1946-03,8.1
1946-04,9.5
1946-05,11.3
1946-06,14.0
1946-07,15.8
1946-08,18.5
1946-09,19.1
1946-10,18.9
1946-11,26.4
1946-12,30.1
1947-01,35.0
1947-02,35.3
1947-03,40.3
1947-04,39.8
1947-05,40.7
1947-06,36.5
1947-07,36.7
1947-08,35.5
1947-09,31.0
1947-10,26.4
1947-11,28.1
1947-12,23.1
1948-01,18.0
1948-02,21.5
1948-03,18.6
1948-04,18.3
1948-05,15.4
1948-06,15.9
1948-07,16.8
1948-08,17.3
1948-09,19.6
1948-10,20.3
1948-11,17.1
1948-12,16.8
1949-01,18.6
1949-02,16.8
1949-03,16.0
1949-04,19.6
1949-05,20.6
1949-06,21.2
1949-07,18.5
1949-08,17.7
1949-09,14.5
1949-10,19.1
1949-11,21.1
1949-12,20.6
1950-01,17.8
1950-02,15.6
1950-03,16.0
1950-04,12.0
1950-05,12.1
1950-06,12.6
1950-07,14.5
1950-08,13.6
1950-09,13.7
1950-10,20.6
1950-11,16.8
1950-12,16.5
1951-01,16.3
1951-02,20.3
1951-03,19.2
1951-04,18.5
1951-05,20.1
1951-06,20.5
1951-07,22.0
